dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/aspectRatio|N|||text||70|1|N|||||||||R|N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|3400|Left|200|Left||||Active||NULL|
avp/primaryDeliveryMethodType|Y||100|text||60|1|N|||||||||R|N|en|Primary Delivery Method Type|avpPrimaryDeliveryMethodType<br>Qualifier: AVP721<br>The code value that Indicates the primary method of delivery for the trade item. The suggested values of this code list are: Warehouse, Direct Store Delivery, Warehouse and DSD, Drop Ship, Direct To Consumer.|Horizontal|Text|3500|Left|200|Left||||Active||NULL|
avp/baglessTechnologyType|N|||text||70|1|N|||||||||R|N|en|Bagless Technology Type|baglessTechnologyType<br>Qualifier: AVP154<br>Indicates the type of technology used by the product to store dirt.|Horizontal|Text|3600|Left|200|Left||||Active||NULL|
avp/batteryLife|N|||integer||4|1||||||||||R|N|en|Battery Life|batteryLife<br>Qualifier: AVP155<br>Identifies the length of time the battery will last.|Horizontal|Integer|3700|Left|200|Left||||Active||NULL|
avp/batteryLifeUOM|N|||text||70|1|N|||||||||R|N|en|Battery Life UOM|batteryLifeUOM<br>Qualifier: AVP156<br>The unit of measurement associated with the Battery Life.|Horizontal|Text|3800|Left|200|Left||||Active||NULL|
avp/binocularSize|N|||text||70|1|N|||||||||R|N|en|Binocular Size|binocularSize<br>Qualifier: AVP157<br>Describes the size classification of the binocular.|Horizontal|Text|3900|Left|200|Left||||Active||NULL|
avp/blackAndWhitePrintSpeed|N|||integer||4|1||||||||||R|N|en|Black And White Print Speed|blackAndWhitePrintSpeed<br>Qualifier: AVP158<br>Indicates the black and white print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|4000|Left|200|Left||||Active||NULL|
avp/bodyStyle|N|||text||70|1|N|||||||||R|N|en|Body Style|bodyStyle<br>Qualifier: AVP159<br>Indicates the style of the body of the product.|Horizontal|Text|4100|Left|200|Left||||Active||NULL|
avp/brandCompatibility|N|||text||70|1|N|||||||||R|N|en|Brand Compatibility|brandCompatibility<br>Qualifier: AVP160<br>Indcates whether the product is manufactured to support a specific brand(s) or if it is intended to use across brands (universal).|Horizontal|Text|4200|Left|200|Left||||Active||NULL|
avp/bridgeType|N|||text||70|1|N|||||||||R|N|en|Bridge Type|bridgeType<br>Qualifier: AVP161<br>Describes the type of bridge that the product contains. A bridge is a device for supporting the strings on a stringed instrument and transmitting the vibration of those strings to some other structural component of the instrument that transfers the sound to the surrounding air.|Horizontal|Text|4300|Left|200|Left||||Active||NULL|
avp/bTURating|N|||integer||8|1||||||||||R|N|en|BTU Rating|bTURating<br>Qualifier: AVP162<br>British Thermal Unit; describes the unit's output rating.|Horizontal|Integer|4400|Left|200|Left||||Active||NULL|
avp/bufferSize|N|||integer||4|1||||||||||R|N|en|Buffer Size|bufferSize<br>Qualifier: AVP163<br>Indicates the size of the temporary memory that the system uses to store data.|Horizontal|Integer|4500|Left|200|Left||||Active||NULL|
avp/bufferSizeUOM|N|||text||70|1|N|||||||||R|N|en|Buffer Size UOM|bufferSizeUOM<br>Qualifier: AVP164<br>The unit of measurement associated with the Buffer Size.|Horizontal|Text|4600|Left|200|Left||||Active||NULL|
avp/builtinHeater|N|||boolean|||||||||||||R|N|en|Built-in Heater?|builtinHeater<br>Qualifier: AVP165<br>Indicates whether or not the product has a built-in heater for the waterline.|Horizontal|Boolean|4700|Left|200|Left||||Active||NULL|
avp/buyerContactName|Y||3|text||70|1|N|||||||||R|N|en|Buyer Contact Name|buyerContactName<br>Qualifier: AVP166<br>Used for the ID for the ARI user ID, all data types should be the same as the ARI tables. This is a buyer name (If the supplier cannot send this, their sales rep will need to log into PIM to provide).|Horizontal|Text|4800|Left|200|Left||||Active||NULL|
