dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
wmToolsHorsepower|N|||float|30|30|15|||M|uom|text||60|1|WMHorsepowerUOMVV|E|N|en|Horsepower|Example: 0.5 HP; 15 HP (Please select a value from the drop-down below)|Horizontal|Float|7800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsImpactEnergy|N|||float|30|30|15|||M|uom|text||60|1|WMImpactEnergyUOMVV|E|N|en|Impact Energy|Example: 1.9 J; 2.8 J (Please select a value from the drop-down below)|Horizontal|Float|6000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsIsBareTool|N|||boolean|||||||||||||E|N|en|Is Bare Tool|A "bare" tool is a battery powered item that does not come with a battery or charger.|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsIsCarbCompliant|N|||boolean|||||||||||||E|N|en|Is CARB-Compliant|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|7600|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsIsLightingFactsLabelRequired|N|||boolean|||||||||||||E|N|en|Is Lighting Facts Label Required|Indicates if item requires lighting facts label. |Horizontal|Boolean|2400|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmToolsIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsIsVariableSpeed|N|||boolean|||||||||||||E|N|en|Is Variable Speed|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|4300|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsLightBulbType|N|||text||4000|1||||||||||E|N|en|Light Bulb Type|Example: Incandescent; Halogen; LED (Please enter text with 4000 character max)|Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsLightingFactsLabel|N|||text||2000|1||||||||||E|N|en|Lighting Facts Label|URL of the location of the label. URLs must begin with http:// or https://<br><br>Label must include brightness specified lumens, estimated energy cost per year, life, light appearance, scale, energy used, and special handling information needed for disposal, as outlined by the FTC. |Horizontal|Text|2500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsLoadCapacity|N|||float|30|30|15|||M|uom|text||60|1|WMLoadCapacityUOMVV|E|N|en|Load Capacity|Example: 60 psf; 75 psi (Please select a value from the drop-down below)|Horizontal|Float|8300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsMaximumAirPressure|N|||float|30|30|15|||M|uom|text||60|1|WMWorkingPressureUOMVV|E|N|en|Maximum Air Pressure|Example: 135 PSI; 200 PSI (Please select a value from the drop-down below)|Horizontal|Float|7300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsMaximumJawOpening|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Maximum Jaw Opening|Example: 1.5 in; 6 in (Please select a value from the drop-down below)|Horizontal|Float|5800|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsMaximumWattsOut|N|||integer||400|1|||M|uom|text||2|1|WMWattsUOMVV|E|N|en|Maximum Watts Out|Example: 350 MWO; 600MWO (Please select a value from the drop-down below)|Horizontal|Integer|6400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsNoLoadSpeed|N|||integer||400|1|||M|uom|text||60|1|WMNoLoadSpeedUOMVV|E|N|en|No Load Speed|Example: 7500 rpm; 10000 rpm (Please select a value from the drop-down below)|Horizontal|Integer|6500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item. Example: Electric; Batteries (Please enter text with 4000 character max)|Horizontal|Text|2900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsSandingBeltSize|N|||text||400|1||||||||||E|N|en|Sanding Belt Size|Example: 3" x 24"; 9-7/8" x 29-1/2" (Please enter text with 400 character max)|Horizontal|Text|5300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsSandingSpeed|N|||integer||400|1|||M|uom|text||60|1|WMSandingSpeedUOMVV|E|N|en|Sanding Speed|Speed of the sander expressed in orbits per minute or surface feet per minute.|Horizontal|Integer|6700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsShankShape|N|||text||4000|1||||||||||E|N|en|Shank Shape|Example: Oval; Hexagonal (Please enter text with 4000 character max)|Horizontal|Text|5700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsShankSize|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Shank Size|Example: 5/16 in; 3/8 in (Please select a value from the drop-down below)|Horizontal|Float|5600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsSpindleThread|N|||text||4000|1||||||||||E|N|en|Spindle Thread|Example: 5/8 -11 UNC; M10 x 1.25 (Please enter text with 4000 character max)|Horizontal|Text|5500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsStrokeLength|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Stroke Length|Example: 7/8 in; 1.25 in (Please select a value from the drop-down below)|Horizontal|Float|6200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsStrokesPerMinute|N|||text||4000|1||||||||||E|N|en|Strokes Per Minute|Example: 500 - 3,100; 800 - 2,800 (Please enter text with 4000 character max)|Horizontal|Text|6300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsTankConfiguration|N|||text||4000|1||||||||||E|N|en|Tank Configuration|Example: Twin Stack; Pancake (Please enter text with 4000 character max)|Horizontal|Text|7400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsTankSize|N|||float|30|30|15|||M|uom|text||60|1|WMTankSizeUOMVV|E|N|en|Tank Size|Example: 10 gal; 4.5 gal (Please select a value from the drop-down below)|Horizontal|Float|7500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsTeethPerInch|N|||integer||7|1||||||||||E|N|en|Teeth Per Inch|Example: 6 TPI; 13 TPI (Please enter the value)|Horizontal|Integer|4800|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsToolFreeBladeChanging|N|||boolean|||||||||||||E|N|en|Tool-Free Blade Changing|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|4400|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsTorque|N|||float|30|30|15|||M|uom|text||60|1|WMMaximumSpeedUOMVV|E|N|en|Torque|Example: 650 ft-lbs, (Please enter the value)|Horizontal|Float|6600|Left|200|Left||||Active||NULL|Walmart_Initial_Load,PI164_SEP07_1002
wmToolsVolts|Y||3|text||400|1|||M|uom|text||60|1|WMVoltsUOMVV|E|N|en|Volts|Example: 220 V (Please select a value from the drop-down below)|Horizontal|Text|3300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsWorkingPressure|N|||float|30|30|15|||M|uom|text||60|1|WMWorkingPressureUOMVV|E|N|en|Working Pressure|Example: 90 PSI; 120 PSI (Please select a value from the drop-down below)|Horizontal|Float|7200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
