dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
mclVendorBanner|N||||||||||||||||E|N|en|Vendor Information|Vendor Information|Banner|Label|1100|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclVendorNumber|N|||text||5|5||||||||||E|N|en|Vendor #|Numeric Field..  Example: 29247|Horizontal|Text|1200|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclCorpAccountNumber|N|||text||3|3||||||||||E|N|en|Corp Account #|Numeric Customer Account Number.  Example: 999|Horizontal|Text|1300|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclOrderSellingInfoBanner|N||||||||||||||||E|N|en|Order & Selling Information|Order & Selling Information|Banner|Label|1400|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclBogusFlag|N|||boolean|||||||||||||E|N|en|Bogus Flag|No retail UPC, Bulk item.  Example: check mark|Horizontal|Boolean|1500|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclSKUType|N|||text||20|1||mcl_SKUTypes||||||||E|N|en|SKU Type|Type of item.  Example: National|Horizontal|Dropdown|1600|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclSellType|N|||text||15|1||mcl_SellTypes||||||||E|N|en|Sell Type|Sell type to customers.  Example: Full Case|Horizontal|Dropdown|1700|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclLogo|N|||boolean|||||||||||||E|N|en|Logo|Private label item.  Example: check mark|Horizontal|Boolean|1800|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclRebateCode|N|||text||36|1||mcl_RebateCodes||||||||E|N|en|Rebate Code|Code for items we receive rebates for.  Example: Dr. Pepper 5 gal|Horizontal|Dropdown|1900|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclPromoCode|N|||boolean|||||||||||||E|N|en|Promo Code|Promo indicator for Cigs.  Example: check mark|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclItemType|N|||text||10|1||mcl_ItemTypes||||||||E|N|en|Item Type|Grocery or GMP.  Example: Grocery|Horizontal|Dropdown|2100|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclSubset|N|||text||40|1||mcl_Subsets||||||||R|N|en|Subset|Subset.  Example: 002FIREWOOD|Horizontal|Dropdown|2200|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclSellbyDays|N|||integer||3|1||||||||||E|N|en|Sell By Days|Number of days to sell by. Example: 30|Horizontal|Integer|2300|Left|200|Left||||Active||NULL|added to IM 6.5 UAT2 - McLane , added PI 1.2.1 superuser
mclCubiscanInformationBanner|N||||||||||||||||E|N|en|Cubiscan Information|Cubiscan Information|Banner|Label|2400|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane, added PI 1.2.1 superuser
mclCubiscanCode|N|||text||38|1||mcl_CubiscanCodes||||||||E|N|en|CUBISCAN CODE|Codes to track if an item has been cubiscaned.  Example: Cubiscaned|Horizontal|Dropdown|2500|Left|200|Left||||Active||MANDATORY_BEFORE|added to IM 6.5 - McLane, added PI 1.2.1 superuser
