dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
mclShortDescription/mclGtinOfShortDescription|N|mclShortDescription|100|text||14|1|N|||||||||R|N|en|GTIN|The Global Trade Item Number is the standard 14-digit number used to identify all trade items in 1SYNC Item Management. For a more detailed definition, refer to the introductory section of this document.|LoopGroupRo |Text|300|Left|20|Left|20|||Active||NULL|added to IM 6.5 - McLane
mclShortDescription/mclProductTypeOfShortDescription|N|mclShortDescription|100|text||2|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item.|LoopGroupRo |Text|200|Left|100|Left||||Active||NULL|added to IM 6.5 - McLane
mclShortDescription/mclShortDescription|N|mclShortDescription|100|text||25|1||||||||||R|N|en|Short Description|Free form field that will be sent to mainframe. Mandatory for new items.  Example: MARL BX|LoopGroupRo |Text|400|Left|200|Left|40|||Active||NULL|added to IM 6.5 - McLane
mclSize|N|||text||8|1||||||||||R|N|en|Size|Size of retail product. Example: KING|Horizontal|Text|500|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclSKUType|N|||text||20|1||mcl_SKUTypes||||||||R|N|en|SKU Type|Type of item.  Example: National|Horizontal|Dropdown|1600|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclSubset|N|||text||40|1||mcl_Subsets||||||||R|N|en|Subset|Subset.  Example: 002FIREWOOD|Horizontal|Dropdown|2200|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclUINCategory|N|||text||7|7||||||||||R|N|en|UIN Category|Nacs Categories.  Example: 1500050|Horizontal|Text|1000|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclUINDept|N|||text||5|5||||||||||R|N|en|UIN Dept|McLane UIN Dept..  Example: 20606|Horizontal|Text|900|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclVendorBanner|N||||||||||||||||R|N|en|Vendor Information|Vendor Information|Banner|Label|1100|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclVendorNumber|N|||text||5|5||||||||||R|N|en|Vendor #|Numeric Field..  Example: 29247|Horizontal|Text|1200|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
